userName,score,at,content
Dll,1,2024-04-29 13:48:52,Ada beberapa bab yang gak ada. Terutama Pendidikan Pancasila.
Alifah Saskia channel Sitti salmah Alifah,5,2024-04-29 12:07:18,SANGAT MEMBANTU
daudy Wise parhan,5,2024-04-29 12:03:32,Worth it👍
samidin samidin,5,2024-04-29 09:37:09,Mantap
Arsita Dwi Mulyani,4,2024-04-29 06:44:59,"aplikasi kurang maksimal, banyak erornya. harus tingkatin lagi di pengembangan aplikasi dan web juga."
Marno Ay,5,2024-04-29 06:31:48,Aku suka ruang guru
Galateaa,3,2024-04-29 05:02:54,"Fitur pembelajarannya sudah bagus, cuma saat saya mencoba kirim latihan materi selalu eror, padahal wifi lancar"
Nezuko,5,2024-04-28 16:04:10,"overall good, penjelasan nya yang mudah di pahami,pertayaan yang membuat makin seru"
Suraya,5,2024-04-28 14:57:06,"Bagus dan efektif cocok jadi aplikasi belajar apalagi saya suka bahasa Indonesia, pembahasan nya juga lengkap bangettt."
Riska Atikah Purbadi,3,2024-04-28 13:32:06,kadang opsi jwbnya gak mu cul
Muhammad ikhsan Maulana,5,2024-04-28 13:30:24,Bagus buat belajar
Gading Prasetya,1,2024-04-28 12:46:18,Padahal jaringan nya baik baik saja tapi disitu tertulis error.
Suarni arni Dg Nini,5,2024-04-28 12:04:11,Baru pertama kali menggunakan ruang guru dan sangat bagus tempat utk belajar
Nicolas Winarta,1,2024-04-28 10:57:23,"masa to dah selesai tba2 jawabnny ilang semua, nyita waktu 2 jam sia sia bgt, malah bayar pake koin, rugi waktu tenaga pikiran, sistem jelek, kalau mau to tempat lain aja"
Tania Rambukudu,5,2024-04-28 06:36:08,Bagus banget aplikasinya
Nabila Aina Syarifa,1,2024-04-28 05:46:42,"lag paraah, pas download modul cepat jg g bs dibuka filenya, nyebelin bgt. bikin badmood, padahal uda smangat mo bljr ☠️☠️☠️"
Zahara Anggraini 675,2,2024-04-28 05:42:35,Coba drilling soal tapi jawabannya ga muncul sama sekali gimana ni Rg?
Nurul Anggraini,5,2024-04-28 05:03:40,Hebat👍🏻👍🏻👍🏻
akhmad cahyono,5,2024-04-27 23:19:57,Aplikasi yang sangat bermamfaar
Bara Nur,5,2024-04-27 21:42:43,"Baru mulai menggunakan, khusus materi bagi guru. Sangat membantu bagi guru, khususnya yang ingin mencari metode pembelajaran yang relevan"
Faizfatahilla,5,2024-04-27 09:07:00,Aplikasi ruang guru itu sangat bagus karena pembelajaran yang lengkap dan juga perkembangan proses belajar juga sangat bagus
Ronald Pandapotan,5,2024-04-27 07:44:41,Pemblajaran yang bagus
Ernest Zukri,5,2024-04-27 05:10:49,Bisa bejar dengan baik
Putri Syalonm,5,2024-04-26 10:36:37,sangat berguna
fajar geming,1,2024-04-26 07:04:57,Ngeganggu tiba tiba di telpon gajelas
Novia Dwi sagita,5,2024-04-26 06:34:58,Bagus
Ra Madhan,5,2024-04-26 06:27:01,Aplikasi nya bagus
Suhendi Dude,5,2024-04-26 01:12:11,Udah bagus keren pula👍👌😁✨✨✨
habibi abdul jalil,5,2024-04-25 14:05:23,mantapppp
Daniel Junius,1,2024-04-25 12:45:23,Kasih bintang 1 dulu soalnya apk nya lagg parah fitur² nya udah ok hanya saja brain academy nya lag parah kadang² suka ngeror sendiri untuk kedepannya mohon diperbaiki 🙏🙏
Muhammad Abdullah Ali,5,2024-04-25 12:02:05,Bagus
Lia Mulyani,5,2024-04-25 10:46:16,anak saya rajin belajar
Afika kk fika,5,2024-04-25 08:35:11,Bagus 👍👍👍👍👍😍😍😍😍😊😊😊😊😊💔💔💔❣️❣️💕💕😂❣️💔❤❤❤❤
Sulastri Miskun,5,2024-04-25 08:29:56,Bagus
Nur Huda,5,2024-04-25 07:16:07,Sangat membantu sekali
Mebta Widyaningrum,5,2024-04-25 06:36:48,Sangat membantu dalam belajar
Yuan,3,2024-04-25 04:16:56,"kalo mau drill soal error' terus, udah dilaporin tapi minim tanggapan"
Ainun latifa Ainun,5,2024-04-25 03:37:03,ruang guru mamang debes
Hafiz Abdul,5,2024-04-24 21:27:47,Bagus membantu
Raihan Aji,5,2024-04-24 16:52:17,Aku Belajar Ruangguru Jadi Hafal Pertanyaan nya
Monika Agnes,5,2024-04-24 16:46:28,Bagus sih lumayan seru deh belajar sama ruang guru
Ahmad Reynaldi Maulana Aldi,5,2024-04-24 14:14:08,Bagus banget aplikasi nya buat belajar
Ali Aza,5,2024-04-24 13:34:16,Mudah di mengerti
shana sshera,1,2024-04-24 13:32:02,"no, just no. pertama kali make roboguru plus nya, ngga dijawab sama tutornya, duit sdh dipake Tapi jawaban ngga didapetin, komplain di semua platform nya responnya kurang bgt deh."
Muhamad Faiz,1,2024-04-24 13:03:26,"BANYAK BUG, SOAL TRYOUT GAK MUNCUL PAS DI REFRESH MALAH KELUAR, TRUS KETERANGANNYA 30 SOAL DILEWATI... NGE RUSAK MOOD!!"
Catur Wulan Ningrum,5,2024-04-24 11:13:09,Sangat baik tidak ada iklan bintang 5 deh soal soalnya bikin seru
Araya Bunga,1,2024-04-24 09:24:10,"Lemot, bikin kesel, kalah sm game yg make memo 15gb, aneh internet lancar kok lemot, padahal memo juga masih 12gb, ckkckckck perbaiki lg, ato bisa ku bilang ni apk g 'fine'."
Mulyani Rana,5,2024-04-24 07:03:27,ini game bisa ngilangin gabut juga aku jadi bisa mtk perkalian yanglain pokoknya kalian yang gk download nyesel
anita rizki,5,2024-04-24 04:30:42,Aku suka ruangguru bikin aku pintar
Alya Dwi,2,2024-04-24 02:23:44,seblumnya nih aplikasi bagus sih cuman gak tahu ngapa makin di update mkin ga jelas appnya mlh disuruh buat akun ulang pdhl udh dibikin akun sebelumnya.....
radja marsellenosaputra,5,2024-04-24 00:09:01,Aplkasi yang sangat bagus
Mohammad Jaenuri,5,2024-04-23 19:13:08,menari dan mem perluas pembelajaran
Dvina,5,2024-04-23 13:32:25,"Seru banget untuk di pakai belajar, ga bikin bosen."
restu amalia,5,2024-04-23 13:02:40,Membantu belajar
Haerani HS,5,2024-04-23 11:35:53,"Sangat membantu tapi mohon tambahkan lagi teman belajar seperti, orang utan, dan badak biar tambah semangat"
Afikha Khairani,5,2024-04-23 11:13:42,Betul
Eem Koswara,5,2024-04-23 09:44:14,Luar biasa
iin Hs,5,2024-04-23 05:07:19,Membantu anak saya untuk mendapatkan nilai yang bagus
ratnawati desem,5,2024-04-23 04:26:16,Hehe
fildzah,5,2024-04-23 04:25:21,Terima kasih Ruang guru
Yudha ksks,2,2024-04-23 02:47:30,"Aplikasinya bagus, fiturnya tambahin lagi misalnya ada soal tryout yang tidak jelas bisa dilaporkan. Cuman ada satu hal yg bikin jengkel, kalau kelas offline ada aja MT yang ngajar banyak bercandanya, ngobrol hal yang gajelas out of the topic sampe satu kelas berisik. Alhasil disana belajar sendiri, giliran dia minta dihargain penjelasannya jujur aja, malah bikin gamood belajar. Udah gitu nyindir banget trus bawaannya caper ke satu temen kelas. Gatau jadi omongan MT/engga gw ini tolonglah ngerti"
pais,5,2024-04-22 13:43:06,Mintamaaf bang minta maaf 😃
Junior Nio,5,2024-04-22 13:39:11,Terima kasih telah membantu saya agar mudah belajar
Fadli Ayatullah,1,2024-04-22 13:32:19,Lag saat mengerjakan tryout
Rayuda 23,5,2024-04-22 12:29:37,Sangat bagus
Ayu Marina,5,2024-04-22 11:04:36,Bagus sekali.
Saskia Amelia P,2,2024-04-21 23:18:52,"Saat saya ingin scroll riwayat sesi, rasanya sangat sulit. Karena loading dan bug yang membuat saya tidak bisa scroll ke bawah. Saat saya sudah di bagian yang sudah ke load, malah naik lagi ke atas. Mohon segera di perbaiki"
Haekal Permana Jibran (Haekal),1,2024-04-21 15:19:31,"cara buka ruangbelajar d versi terbaru bagaimana, kok tampilannya hilang bikin susah mau belajar"
Yusuf 046,5,2024-04-21 11:12:22,Sgt bagus plis download segara
HafidzAnNaufal Fairoedin,2,2024-04-21 10:06:00,"Enggak rugi berlangganan ruangguru! Materi pembelajarannya mudah dipahami dan sangat interaktif, belajar jadi tidak membosankan. Tapi kenapa jadi susah masuk app nya loading nya juga lama padahal jaringan internet stabil"
Aditya Dzaki,5,2024-04-21 02:51:52,Sangat membantu👌👌
Fauzan Surya,5,2024-04-20 12:41:48,Asli keren banget dah kalo belajar pake ini
Yasmin Nisa,5,2024-04-20 10:01:32,Sangat membantu anak dalam belajar
Samsung Flip,4,2024-04-20 07:36:36,Gak suka.banget pas enak enak belajar nonton vidio malah disuruh verifikasi code mulu udah 50 kali verifikasi code padahal
Jeff,5,2024-04-20 04:05:31,"lumayan luas kalau mau belajar utbk, bisa dari dasar dan latihan soal juga tersedia jadi bagus👍"
Julius Nababan,5,2024-04-20 03:27:53,video yang diberikan sangat baik dan dapat dipahami
Dika Akun ff ke 3,5,2024-04-20 03:22:29,Yey aku jadi bisa semua
Nandhifa Indri,5,2024-04-19 09:18:36,Reme banget belajar di ruang 👩‍🏫‍
Morahati Gultom,5,2024-04-19 08:39:33,"Aplikasinya bagussssssssssssss bgt buat belajar, awal belajar dapet gratis tapi skrng malah bayar sedih bgt🤧"
Andre Bagus Purnama,1,2024-04-19 06:12:05,apalah uda langganan 2 taun terus langganan nya selesai.terus terusan di telfon buat lanjut langganan kaya punya utang pinjol astaghfirullah di telfonin terus mohon untunk ruang guru stop buat spam panggilan dan ngirim di wa ganggu banget 😒😒😒😒🙏🙏
Azka Ell,5,2024-04-19 05:34:29,bagus banget ruang guru memudahkan saya untuk belajar
Ifa Fatimah,5,2024-04-19 02:37:21,Terima kasih Ruang guru
Naura Ilmatun Nafiah,1,2024-04-19 01:30:15,Kurang puass sama sistem belajarnya
abdul razak,2,2024-04-18 17:08:59,"ini ruangguru skrg knp dah, pada error semua, countdown snbt harusnya belasan hari jadi 99 hari, menu playlist belajar jg ilang, kacau"
Nur Rahmadhani,5,2024-04-18 13:24:29,Bagus
Samha Saufa,5,2024-04-18 11:05:51,"Ruangguru bikin cepat paham pelajaran di sekolah. Pokoknya , kalau ada pelajaran yang tidak kalian mengerti , tonton aja di ruangguru , dijamin bikin cepat paham"
e - ka,4,2024-04-18 10:11:56,Keren
Rahmat Ramadhan,5,2024-04-18 09:57:51,"Sejak saya menggunakan aplikasi ini alhamdulillah sangat membantu saya dalam mempelajari soal soal yg sulit dikerjakan, dan semoga kedepan menjadi aplikasi bimbel yg memiliki user yg banyak"
Al Syifa,5,2024-04-18 08:34:14,Ruang Guru sangattttf Bagusss
Fikri rhmadan Rhmadan,5,2024-04-18 08:22:23,Bagus aja
Tito Investor,5,2024-04-18 01:46:23,Ayo belajar di ruang guru 😁
Test Email,5,2024-04-18 00:32:08,Ruangguru kereeen banget 🥰🥰🤩🤩🤩
Eiko Kei,5,2024-04-17 12:20:07,Masih percobaan
Lutfia Amanda,5,2024-04-17 12:05:09,SERUU BANGETT BELAJARNYAAA
ajeng aja,4,2024-04-17 11:24:03,Aplikasi ini membantu sekali untuk belajar MTK dan iPas
Agus Kunadi,1,2024-04-17 09:38:37,ini kurang bagus
Eti Setiawati,4,2024-04-17 09:13:48,Aplikasinya sudah bagus banget namun pas nonton video kalau yg tidak premium cuma 30 detik minimal 1 menitan lah jangan 30 detik doang jadinya tidak paham materi pelajarannya...
rizxijj amaliyah,5,2024-04-17 05:58:18,Aplikasi ini sangat membantu saya untuk belajar di rumah ruang guru semangat ya meningkatkan aplikasinya lagi
Muhamad Sopandi,4,2024-04-17 05:10:33,Menjelaskannya membosankan
Ivan Virmansyah,5,2024-04-17 00:36:57,Terima kasih ruang guru..sangat membantu sekali..sangat recommended deh
err,5,2024-04-16 12:51:10,"sangat membantu dalam proses pembelajaran, pembahasan yang diberikan juga mudah dimengerti. ruang guru benar benar menjadi teman belajar saya semoga dengan adanya ruang guru ini saya dan teman teman sekalian bisa mencapai tujuan yang diinginkan yaa, aamiin."
Clara,5,2024-04-16 10:06:09,Aku habis belajar di ruang guru aku langsung meningkat
Fitri Aqila,4,2024-04-16 08:55:06,Bagus tapi tambah kan Pemainan nya
Muhammad Barkah,3,2024-04-15 16:24:18,Gue ragu sama aplikasi ini kenapa saya bilang ragu karna aku takut apk ini menipu sya kedua kalinya seperti aplikasi belajar yang ada di wepsite google katanya 45 ribu bayarnya kok aku udah donglodw katanya 500 ribu
Advhenita Destriana,5,2024-04-15 15:27:21,👍🏻👍🏻👍🏻
Imbang Romandung,5,2024-04-15 14:11:08,Terimakasih ruang guru karena ada aplikasi ruangguru saya jadi bisa belajar semak simalmungkin dan tidak akan bosan karena banyak fitur fitur yang menyenangkan.sehingga saya semangat untuk belajar di ruang guru Terimakasih ruangguru😊😊😊🤗🤩🤩
Gusti Komang,5,2024-04-15 10:20:22,Mantap
Deki Pahlawan,5,2024-04-15 04:48:44,Informatif
Raziq Irsyad,5,2024-04-15 04:07:55,Aplikasinya sangat bagus! Berkat aplikasi ruangguru saya rangking 1
Najwa Nurbaiti,4,2024-04-15 03:56:34,Ruangguru bikin aku makin rajin belajar karena fiturnya yang asik dan vidio yg edukatif.mantab!!
Adhen MirassDM,5,2024-04-15 02:46:40,seru banget ruang guru ini anak saya jadi pintar terimakasih ruang guru
popularjax,5,2024-04-14 17:28:17,"Buka akun lamaku di ruang guru, jadi inget interaksi bareng temen lama pas zaman covid saling kerjasama dan saling support kalau naik level.."
Sakura Aysfa,5,2024-04-14 13:52:41,"Sangat membantu , nilai saya jadi lumayan naik saat saya belajar di ruangguru"
Fatimah Fatimah,5,2024-04-14 13:00:43,Baru nyoba download mudahan bermanfaat
Maestro Edition,5,2024-04-14 08:43:01,Seru dan mudah di pahami
Frilla Erita,5,2024-04-14 06:31:04,Pokoknyaa baguzzzz bngtt sii buat akuu trimkasihh ruang guru doain akuu yaa semoga aku taun ini bisa lulus snbt aamiin....🙏😊
Rinrin,5,2024-04-14 01:26:54,"Enjoy banget bisa belajar di app ini, thank you Ruangguru!!!💐"
Atsmaril Fuadi,5,2024-04-13 22:37:44,sangat membantu belajar saya
mahar Dikcot,5,2024-04-13 15:44:28,Bagus untuk belajar di rumah
Joris ata Zega,5,2024-04-13 12:42:33,Sang Bagus 🥰🥰
Ainun Shofia,3,2024-04-13 00:40:33,"Aku ngga punya uang, tapi aku pengen belajar di Ruangguru, eee.. Tolong bisa ngga jangan berbayar ruang gurunya😭🙂😔"
Ramzy Irfani,2,2024-04-12 08:21:50,"Untuk scrolling soal cerita yang panjang agak susah, isi vidionya bagus tapi simpulan vidionya nggak sesuai ama isi vidio (jarang si sebenarnya, tapi kalau gitu fatal karena yang dicatat kesimpulannya, kalau kesimpulannya salah, tapi isi vidionya benar. Rugi dong), dan bila soalnya memuat gambar agak susah muncul gambarnya"
Fredy Putra Dio,5,2024-04-12 07:48:22,"Gurunya ramah, penjelasanya mudah dimengerti"
Alghifari M.,5,2024-04-12 00:05:25,Good Job
Marie Marylyn Angelica,5,2024-04-11 14:31:13,"Good, bikin mood bljr naik, dan penjelasan nya mudah dipahami"
Amira Nurmeisya,5,2024-04-11 10:43:13,B aja
04. Anggi Lestari Kinasih D.,5,2024-04-11 05:03:33,materi utbk-nya interaktif dan mudah dimengerti. fitur laporan belajar dan review materi juga membantu banget buat tau kekurangan kita dimana👍
Winnie Natasha,5,2024-04-10 02:41:39,Out
A Something,5,2024-04-09 13:27:13,"Termasuk aplikasi terbaik yang pernah saya unduh; penjelasan menarik, adaptif, dan education consultant-nya pun interaktif dan sangat ramah. Saya sangat terbantu, terimakasih banyak😁👌"
Alicia At,5,2024-04-09 12:48:10,Sangat membantu aku belajar ferry good
Keisha Almeira,5,2024-04-09 10:07:30,bagus bgt aaaa sukak ♡♡♡
Nyoman selvi Nandha,5,2024-04-09 08:39:01,Bagus
Sulistia Iklima,5,2024-04-09 05:39:24,terimakasih telah hadir membantu pelajar di Indonesia 🤍🤍. semoga siapa saja yang terlibat mendapatkan pahala jariyah. aamiin yaa Allaah.
Eka Zera,5,2024-04-08 14:24:27,"Terasa banget premiumnya gak nyesel buat berlangganan, banyak fitur keren dan penjelasannya yang berkualitas"
Fadhlam Khasyah rafid,5,2024-04-08 07:09:48,Bagus cepat memahami pembelajaran dengan mengenakan konsep konsep vidio apalagi ada brand academy jadi bisa berinteraksi dengan ticher ticher dan bisa berkomunikasi dengan teman teman brany academy. Banyak lagi fiturnya di ruang guru ini
Alifia Sekaranti,4,2024-04-08 04:58:38,"pas mau belajar terus masuk ke bab meterinya, loading dulu terus malah balik lagi ke menu awal, ntar dipencet lagi bab yang mau dipelajari ehh keluar lagi, jadi buang waktu, tlonk diperbaiki yhh"
Yeni Mubaroh,5,2024-04-07 22:40:04,Keren
Miranda,1,2024-04-07 16:50:51,Fitur screenshotnya lemot banget
Non Sumiati,5,2024-04-07 14:27:59,Bagus buat belajar
OTNIEL ARIFTOR SILABAN,5,2024-04-07 09:40:41,Aplikasi beljar seru
Skyler Gaming,5,2024-04-07 05:59:18,mantao
Hairul Anam,5,2024-04-07 02:29:34,Sangat luar biasa
Mirda Mariska,5,2024-04-06 13:39:22,Bestt dehh pokokny
Utami Yenisriutami,5,2024-04-06 04:15:25,Baik
Fardan Doang,3,2024-04-05 16:33:00,kalo download materi nya exp + tugas pet nya ga jalan ka padahal uda nonton ber bab² offline nya
Bilqis Arindi,5,2024-04-05 10:23:10,Ini sangat menyenangkan dan bisa jadi motivasi untuk belajar yok download sekarang
Dafa Hohame,5,2024-04-05 10:19:24,Nilai MTK gua nambah setelah download ruang guru
Aurelia Tumewu,5,2024-04-05 08:06:13,Sangat bagus aplikasi nya sangat membantu buat saya
Saka Akhsanussiddiqy,5,2024-04-05 05:39:51,Semua lengkap dan di percaya
Bita Putri Naila,4,2024-04-05 04:46:23,BAGUSS CMN SAYANG ERROR KAK HUHUHUHUHUHUHUHUHUHU
Fatmawati Wijaya,1,2024-04-05 03:11:20,"Harga beda, materi tidak sesuai yang di sekolah, live teaching tidak ada jadwal pengganti, sales marketing banyak banget ganggu, asa masalah sama sekali ngak bantu, tidak cocok untuk belajar"
Adila Adila,5,2024-04-04 23:00:39,Aplikasi ini bagus banget bener bener ngebantu sihh👍👍👍👍
zhurya,5,2024-04-04 22:32:32,👍🏻👍🏻👍🏻👍🏻👍🏻
Rinn _,5,2024-04-04 13:54:15,keren
Al Baidawi,5,2024-04-04 07:05:27,"Sangat bagus dan keren, harga terjangkau dan bermanfaat"
MUHAMMAD FANNY AKYLLA HUDA IRSYAH,5,2024-04-04 05:34:22,"Kalo kalian mau belajar,, aku saranin ndek sini yahh,,, beneran ngga akan kecewa kok,,, Semangat 🔥🔥"
Aliena Salsabila,1,2024-04-04 04:30:41,"Sayq sangat terganggu oleh spamchat dari pihak ruangguru untuk menawarkan jasa, apalagi hingga menelpon. Itu sangat MENGGANGGU."
intan nuraeni,5,2024-04-04 03:07:26,Bagus banget dan efesien
Rasya Sharani F A,1,2024-04-04 02:43:49,"tolong perbaiki, saya mengerjakan TO UTBK soal dan jawabannya tidak muncul"
Toni Riyanto,3,2024-04-03 22:26:05,"Untuk pelajaran TIK disini kenapa gak ada ya, padahal TIK itu lumayan penting"
zr4,5,2024-04-03 15:25:35,mantap
Ahmad Ahmad prayoga,3,2024-04-03 14:18:13,Bintang tiga bagus😊☺ tapi saya tidak punya uang andai ada uang😒😢
Alifah Amelia,5,2024-04-03 13:22:57,"penjelasan lengkap, tapi tolong kak penjelasannya jangan terlalu mutar mutar. untuk drill soal suka sekali bermasalah, soal eror dan tidak keluar atau exp yang sudah diraih malah ga masuk akun, jadi sayang banget udah ngerjain 50an soal malah ga masuk xpnya"
Muhammad Taufik Septiyano,5,2024-04-03 03:42:36,"Ruang guru best deh,kalo ada masalah cepet banget ditanggapi,jd ngak nyesel udah langganan 😍😍"
Ari vernando,5,2024-04-03 01:03:55,"Bagus banget untuk belajar utbk, aku diberi teman aku akun untuk belajar utbk karena dia sudah lulus snbp aku berterimakasih se banyak banyaknya kepada-nya karena penjelasan dan cara cara yang diajarkan oleh ruang guru mudah aku fahami dan semoga aku mendapat skor utbk 700+ di saat utbk nanti di tanggal 30 April 2024, btw nama teman ku Nayla Ramadhani Putri Marly dia diterima di universitas Andalas jurusan keperawatan, semoga segala hal yang dia impikan dipermudah oleh Allah SWT"
Marwinto Sinaga,2,2024-04-02 09:05:14,Bagus sekali
Imel Nptpl,5,2024-04-02 08:53:50,"bagus, sangat membantu dalam pembelajaran saya"
Sevtia Hapsari,1,2024-04-02 00:05:52,Gabisa buat drill soal
Worumy,5,2024-04-01 13:04:16,Pelajaran bahasa ingris kelas 6 SD
Erika Syafitri,5,2024-04-01 12:10:41,"Rekomended bgtt aplikasi satu ini benar"" membantu, dan penjelasannya pun sangat mudah di mengerti"
Amel Sayang,5,2024-04-01 07:47:28,Sangat membantu sekali
YOLANDA TRI MEYLANI YOLANDA,5,2024-04-01 06:25:47,"Sangat membantu bagi para pelajar, penjelasannya benar benar mendetail"
Yurni Yurni,5,2024-04-01 03:41:23,Partner belajar terbaik
Mutia Raye12,5,2024-03-31 12:06:49,Keren
Arda Pakpahan,5,2024-03-31 08:07:06,Ruang guru THE BEST dehh 👍👍
NANDA ALISIA TUZAHRA,5,2024-03-31 06:22:02,Mantap
Vionaa •3•,5,2024-03-31 06:09:35,Sgt bermanfaat
NI LUH SUARTINAH,5,2024-03-31 01:24:55,Bagus ruang gutu
